,text_id,predict_event,pleasantness,goal_relevance,other_responsblt,urgency,self_control,social_norms,hidden_emo_text,emotion,predicted_predict_event,gate_weights_predict_event,predicted_pleasantness,gate_weights_pleasantness,predicted_goal_relevance,gate_weights_goal_relevance,predicted_other_responsblt,gate_weights_other_responsblt,predicted_urgency,gate_weights_urgency,predicted_self_control,gate_weights_self_control,predicted_social_norms,gate_weights_social_norms,emo_predictions
0,21,1.6,1.0,1.6,5.0,3.6,1.6,1.4,I went outside my house to find a dozen large boxes had been delivered by my father in law for a thousand canning jars that we didn't want.,anger,-0.20253764,0.10224218,-0.40394577,0.16557646,0.10534027,0.14080231,-0.097566344,0.12189477,0.017585233,0.20421255,0.23191932,0.14143853,0.15188582,0.12383322,surprise
1,2105,2.6,4.6,4.4,1.8,3.0,4.0,1.4,I felt ... when I passed my exams.,relief,-0.0695502,0.11410448,-0.49887303,0.22742255,0.51425457,0.14318657,0.0054659005,0.10656035,0.2684047,0.14684413,0.03832663,0.14309448,0.6846307,0.118787475,surprise
2,2109,2.4,1.2,3.4,2.0,1.8,2.2,1.2,3 years after my sister passed away,sadness,-0.32053825,0.116849355,-0.46382198,0.1625629,0.056898538,0.14070742,-0.2079464,0.11798598,0.022932574,0.18690965,0.3289718,0.14374255,0.28941774,0.13124217,surprise
3,2115,4.8,4.2,2.0,2.4,2.6,4.4,1.4,I walked my dog this morning,joy,-0.26059407,0.11390788,-0.5515028,0.17142484,0.1002032,0.14873749,-0.31761032,0.11054158,-0.02245687,0.19299148,0.36084405,0.13872242,0.2342553,0.12367424,surprise
4,2117,4.4,2.4,2.8,4.2,3.6,3.8,1.6,When IÂm dealing with customers at work,anger,-0.110708416,0.1111474,-0.44457814,0.18278828,0.10484381,0.15927212,-0.317903,0.12313783,-0.26869106,0.18024829,0.21257728,0.13503459,0.37156856,0.10837151,surprise
5,2118,2.0,1.4,2.4,2.8,4.4,2.0,1.4,Dropping Food,anger,-0.22254357,0.11253182,-0.5689638,0.20281306,0.16862042,0.14537835,-0.44134146,0.12682958,-0.08520165,0.16773698,0.36461726,0.14393537,0.37861228,0.100774884,surprise
6,2120,3.6,3.8,4.4,1.6,2.8,3.4,2.0,I felt ... when I passed a recent test.,relief,0.02197479,0.10430826,-0.39057323,0.17953815,0.20092067,0.14524351,-0.0051773246,0.11841732,0.13188954,0.17139818,-0.0028701946,0.13891383,0.2508319,0.1421807,surprise
7,2129,3.0,3.6,2.4,3.4,3.4,4.2,1.0,... in baking a cake for my father and he liked it.,pride,-0.38612294,0.106093615,-0.08776855,0.15700799,0.20282379,0.14831105,-0.17468916,0.13514732,-0.018164486,0.19068177,0.08674699,0.1343539,-0.024314225,0.1284044,surprise
8,213,2.4,1.0,3.8,3.6,3.0,1.8,1.8,I am struggling financially and it is not my fault.,anger,-0.2012446,0.10733471,-0.44156453,0.18920851,0.054929186,0.14204521,-0.2832793,0.122510985,-0.060804456,0.19074436,0.3696119,0.13489076,0.35150063,0.11326543,surprise
9,2134,4.2,5.0,4.0,4.8,2.0,1.8,1.0,My partner was accepted for a job because she worked really hard to get it,pride,-0.40500662,0.10826653,-0.28219423,0.14463106,0.2429509,0.15089147,-0.19984712,0.13102819,0.1520117,0.1797535,0.21510965,0.15908174,0.08656259,0.12634756,surprise
10,2138,2.2,4.8,3.2,1.8,3.8,4.0,1.0,I bowled two people out during the final over of my cricket game to win the final.,pride,-0.19032167,0.106126614,-0.6631509,0.20040017,0.15636247,0.1368171,-0.27263072,0.12582768,-0.090822086,0.1885069,0.36311156,0.14101712,0.4370128,0.1013044,surprise
11,2142,3.6,3.8,5.0,3.0,4.2,3.2,1.0,I gave birth to healthy twins,joy,-0.16453227,0.11317708,-0.60397905,0.20055223,0.17196603,0.15524879,-0.3606799,0.12643681,-0.024259023,0.16160627,0.31278014,0.1422778,0.52463347,0.10070101,surprise
12,2143,3.4,4.6,2.0,1.0,2.8,4.2,1.0,I baked a delicious strawberry cobbler.,pride,-0.14983137,0.10426105,-0.24365057,0.1624558,0.009984743,0.13701531,-0.14694543,0.11354512,0.07313512,0.20452705,0.19549431,0.13759461,-0.03964573,0.14060113,surprise
13,2144,3.6,3.4,4.4,1.6,3.2,2.6,1.0,Finding out my degree classification,pride,-0.2680997,0.114361644,-0.3533885,0.16028613,0.013106305,0.12538303,-0.10029765,0.12782294,-0.024513677,0.20086724,0.34893316,0.14096892,0.3927995,0.13031018,surprise
14,2145,4.0,5.0,4.8,2.0,3.0,3.2,1.0,I completed my degree and found out I got a 1st Class Degree overall.,pride,-0.40877864,0.103960514,-0.034908965,0.13728109,0.21686222,0.14467488,0.014436984,0.120066404,-0.08019851,0.20470652,-0.18181139,0.1508181,0.04925656,0.13849251,surprise
15,2158,3.0,2.6,4.0,2.0,3.6,3.0,1.6,"I had my first vaccine, as I have a fear of needles but it was not as bad as I thought it would be.",fear,-0.099453494,0.10481005,-0.3464811,0.16451289,-0.01864032,0.1468525,-0.14525269,0.11739131,0.043085054,0.1951666,0.20326158,0.14391668,0.0705791,0.12734994,surprise
16,2161,3.4,4.0,4.0,1.2,3.2,4.4,1.0,I passed my Irish language test,joy,-0.43879297,0.11411188,-0.362658,0.15836681,0.19752693,0.12878801,-0.22850935,0.11687234,0.02710484,0.20215484,0.22955985,0.14801519,0.1430601,0.13169087,surprise
17,2163,2.8,1.0,5.0,1.0,3.0,1.2,1.2,my dad was diagnosed with cancer and eventually passed away.,sadness,-0.14902423,0.10542589,-0.22470215,0.1587694,0.098693565,0.14178239,-0.11877472,0.12735379,-0.016431883,0.18893735,0.097758576,0.13779333,0.055415325,0.13993785,surprise
18,2168,2.4,1.8,3.0,3.4,3.2,4.2,2.0,I felt ... when arguing with a friend,anger,-0.060218226,0.11054349,-0.38109908,0.2107361,0.20907257,0.15548621,-0.19601423,0.10759606,0.03179322,0.14878681,0.3998508,0.1307883,0.7262201,0.13606311,surprise
19,2169,2.0,1.0,3.6,1.8,3.8,1.2,2.2,I felt ... when my 18 year old son passed away.,sadness,-0.22792815,0.11518359,-0.16027664,0.1488188,0.21900184,0.13024247,-0.009291591,0.12251727,0.11094804,0.18636873,-0.12748563,0.13736306,0.037500665,0.15950608,surprise
20,2172,2.0,1.0,4.6,1.0,3.6,2.2,1.8,I was diagnosed with fibromyalgia,sadness,-0.32997632,0.1153644,-0.50947505,0.17150657,0.06564665,0.14424948,-0.26050428,0.11993807,-0.20336159,0.18521385,0.35430986,0.13647558,0.31352484,0.12725209,surprise
21,2179,1.4,1.0,4.6,1.8,4.8,1.2,1.2,I had a miscarriage recently,sadness,-0.43742117,0.11755729,-0.23149769,0.14651592,0.11844514,0.13119338,-0.17466323,0.10816116,-0.09678896,0.2076289,0.34602946,0.14414482,-0.01080291,0.14479856,surprise
22,2180,2.8,1.0,3.6,2.6,2.4,4.2,1.8,when i failed my driving test,shame,-0.27365798,0.10901776,-0.3665843,0.17125094,-0.014838647,0.13733375,-0.17170517,0.12620825,-0.011551991,0.19130333,0.28587505,0.1433202,0.3527366,0.12156582,surprise
23,2182,2.6,1.0,3.6,5.0,2.0,2.0,4.0,I was bullied badly and everyone made fun of me in a situation that made me feel ...,sadness,-0.33954743,0.11055586,-0.079268634,0.16101716,0.10132809,0.12512718,-0.037257947,0.12237999,0.08110021,0.18765737,0.23589286,0.13984478,0.09847738,0.15341763,surprise
24,2187,2.2,1.4,2.4,4.2,3.6,4.0,2.2,"One day as my sister and I were sharing a car, she decided she was not going to let me have it. She had done this many times before and was doing a horrible job of sharing and helping me get to work. I lost my temper in front of her and my mother. I was slamming doors and yelling. I have not thrown a fit like that ever since. I still feel ... I let my emotions get the best of me.",guilt,-0.26558745,0.10470531,-0.52983946,0.19211237,0.28028828,0.14382994,-0.29683968,0.1258068,-0.05117385,0.18357006,0.3114056,0.14815651,0.3649609,0.10181898,surprise
25,2193,1.6,3.8,3.0,1.4,2.6,4.2,2.4,i discovered a lost person item that i hid for myself years ago.,guilt,-0.33660272,0.10259592,-0.13894637,0.13781066,0.3006339,0.14140257,0.024942791,0.1296871,0.068646416,0.2059242,0.060042582,0.13417344,0.23663574,0.14840612,surprise
26,2194,2.0,4.0,2.2,3.2,3.0,2.8,1.4,I felt ... when my little sister chose me to read her story instead of my dad,pride,-0.15961668,0.11362124,-0.60840386,0.2021642,0.1714793,0.15171911,-0.32685333,0.12571383,-0.020871155,0.16161422,0.30699414,0.14275372,0.5224463,0.102413654,surprise
